NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulos2017,FollowersInicio2017,FollowersFin2017
El Quehaydecierto,elqhaydecierto,L,Grupo Mi Voz Red de Diarios Ciudadanos,4244,4294,4898
Agencia Uno ,agenciaunochile,N,Agencia Uno,2940,4139,4825
OsornoTV+,osornotvmas,L,Ilustre municipalidad de Osorno,300,4070,4811
Radio Presidente Ibañez,pdteIbanez,L,Francisco Pérez,2801,3764,4576
Digital Antofagasta ,DigitalFmAntofa,L,El Mercurio S.A.P,16,4425,4457
Radio Pudeto,radiopudeto,HL,Sociedad de Radio y Publicidad San Antonio Ltda.,103,4117,4419
PublimetroTV,Publimetro_TV,N,Metro International,2348,4067,4414
Página 7,Pagina7Chile,N,Biobio Comunicaciones,22090,3465,4340
Soy Arauco,soyarauco,L,El Mercurio S.A.P,529,4203,4313
Dichato al Día,dichatoaldia,HL,Dichato al Dia,22,4097,4158
NatalesOnLine,NatalesOnLine,L,NOL Periodico,1380,3374,4102
Soy San Carlos,soysancarlos,L,El Mercurio S.A.P,58,3884,4040
Giro Visual San Antonio,girovisualtv,HL,Giro visual,2169,3201,3960
Carta Abierta,carta_abierta,L,Carta Abierta,2359,3687,3905
Noticias Los Ríos,InforiosCL,L,Noticias Los Rios,1502,2850,3870
Radio Puerto Natales,radioptonatales,HL,Sociedad sonido sur,343,3231,3702
La Estrella de Tocopilla,Estrella_Toco,L,El Mercurio S.A.P.,4020,3266,3638
La Estrella del Loa,estrella_loa,L,El Mercurio S.A.P.,2465,3153,3544
Soy Coronel,soycoronel,L,El Mercurio S.A.P,168,3374,3418
Vertice TV,verticetv,HL,Vértice Comunicaciones,17,3184,3328
Red Arica,RedArica,L,Merelec SpA ,549,2855,3327
Red Diarios Comunales ,redcomunales,L,Red de Diarios Comunales,7987,2184,3208
El Chelenko,ElChelenko,L,El Chelenko Comunicaciones,412,2428,3188
Cauquenes Net,cauquenesnet,HL,Cauquenes NET,1833,2751,3177
Soy Tomé,soytome,L,El Mercurio S.A.P,428,3065,3156
El Andacollino,elandacollino,L,Red de Diarios Comunales Sociedad Limitada,964,2717,3115
La Voz de Maipú,lavozdemaipu,HL,La Voz de Maipú,352,2411,2989
El Amaule,elamaule,L,Grupo Mi Voz Red de Diarios Ciudadanos,2650,2551,2949
CyS Radio Chile ,cysradio,L,Sociedad Coronado y Sierpe LTDA.,19,2499,2800
El Paihuanino,elpaihuanino,L,Red de Diarios Comunales Sociedad Limitada,570,1993,2698
Primitivos TV,PrimitivosCL,L,Rodrigo Vidal,312,2276,2574
Diario Nacimentano,Nacimentanocl,HL,Diario Naciemiento,175,2335,2499
PRENSA MARIQUINA,Prensamariquina,HL,Prensa Mariquina,307,1967,2333
Diarios en Red,diariosenred,L,Merelec SpA ,175,2152,2298
El Vicuñense,elvicunense,L,Red de Diarios Comunales Sociedad Limitada .,1159,1416,2170
